date,funding_rate_mean,funding_rate_sum,funding_rate_max,funding_rate_min
2020-07-14,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-15,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-16,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-17,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-18,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-19,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-20,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-21,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-22,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-23,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-24,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-25,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-26,0.00028479,0.00085437,0.00065437,0.0001
2020-07-27,0.0006200633333333333,0.0018601899999999998,0.00086993,0.00047138
2020-07-28,0.00119704,0.0035911199999999997,0.00139484,0.00097576
2020-07-29,0.0007122833333333333,0.00213685,0.00083621,0.00061856
2020-07-30,0.00067754,0.00203262,0.00072329,0.00061759
2020-07-31,0.0005323933333333333,0.00159718,0.00082654,0.00037716
2020-08-01,0.00035896999999999996,0.00107691,0.00048996,0.0002791
2020-08-02,0.0005424966666666667,0.00162749,0.00095567,0.00024752
2020-08-03,0.00038503333333333333,0.0011551,0.00045929,0.0002585
2020-08-04,0.00033459,0.00100377,0.00038617,0.00030647
2020-08-05,0.00017518333333333335,0.0005255500000000001,0.00022044,0.00013898
2020-08-06,0.0003788733333333334,0.00113662,0.00038867,0.00036099
2020-08-07,0.00025614,0.00076842,0.00031707,0.00021201
2020-08-08,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-09,0.00015213333333333334,0.0004564,0.00021066,0.0001
2020-08-10,0.00057372,0.00172116,0.00131898,0.0001
2020-08-11,0.0003197466666666667,0.00095924,0.00059816,0.00013372
2020-08-12,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-13,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-14,0.00029689666666666664,0.00089069,0.00044038,0.00017598
2020-08-15,0.00022851333333333333,0.00068554,0.0003665,0.0001
2020-08-16,0.00031980333333333333,0.00095941,0.00048777,0.0001564
2020-08-17,0.00050636,0.00151908,0.0008576,0.00026342
2020-08-18,0.0009942233333333332,0.0029826699999999998,0.00119905,0.00078206
2020-08-19,0.0005208933333333334,0.00156268,0.00077293,0.00024051
2020-08-20,0.00018020000000000002,0.0005406,0.00024189,0.0001159
2020-08-21,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-22,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-23,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-24,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-25,0.0002086,0.0006258,0.0004258,0.0001
2020-08-26,0.00015451333333333335,0.00046354,0.00023316,0.0001
2020-08-27,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-28,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-29,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-30,0.0001,0.00030000000000000003,0.0001,0.0001
2020-08-31,0.00011820333333333333,0.00035461,0.00015461,0.0001
2020-09-01,0.00026607,0.0007982099999999999,0.0004686,0.0001
2020-09-02,0.00037669,0.00113007,0.00045038,0.00032895
2020-09-03,0.00020977,0.00062931,0.00024709,0.00016828
2020-09-04,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-05,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-06,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-07,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-08,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-09,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-10,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-11,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-12,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-13,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-14,6.956e-05,0.00020868000000000001,0.0001,8.68e-06
2020-09-15,-0.00010073999999999999,-0.00030221999999999996,-2.796e-05,-0.0002227
2020-09-16,-5.289e-05,-0.00015867,-1.488e-05,-0.00011181
2020-09-17,8.306666666666668e-06,2.4920000000000002e-05,2.957e-05,-5.63e-06
2020-09-18,6.657e-05,0.00019971,9.425e-05,4.967e-05
2020-09-19,-9.426333333333334e-05,-0.00028279,-5.749e-05,-0.0001155
2020-09-20,-8.099666666666666e-05,-0.00024299,-6.476e-05,-0.00011198
2020-09-21,-3.192333333333333e-05,-9.577e-05,0.0001,-0.00012071
2020-09-22,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-23,-1.263e-05,-3.789e-05,4.321e-05,-5.506e-05
2020-09-24,3.9966666666666665e-05,0.0001199,6.991e-05,1.182e-05
2020-09-25,-3.559e-05,-0.00010677000000000001,0.0001,-0.00023219
2020-09-26,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-27,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-28,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-29,0.0001,0.00030000000000000003,0.0001,0.0001
2020-09-30,0.0001,0.00030000000000000003,0.0001,0.0001
2020-10-01,9.137333333333333e-05,0.00027412,0.0001,7.412e-05
2020-10-02,2.695e-05,8.085e-05,0.0001,-1.652e-05
2020-10-03,9.916333333333335e-05,0.00029749,0.0001,9.749e-05
2020-10-04,7.129999999999999e-06,2.1389999999999997e-05,5.039e-05,-2.144e-05
2020-10-05,-6.478666666666667e-05,-0.00019436,-3.381e-05,-9.143e-05
